Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 7672426, 16904, 716035, 2629619
19, 0.003044, 7443176, 23506, 719606, 2629619
29, 0.006820, 7525333, 35203, 722820, 2629619
39, 0.011204, 7702208, 50311, 740488, 2629619
49, 0.014928, 13612775, 58042, 725202, 2629619
59, 0.018392, 7961385, 66038, 727320, 2629619
69, 0.021964, 8025749, 77233, 732973, 2629619
79, 0.025400, 8112702, 84754, 729142, 2629619
89, 0.028816, 8239685, 91581, 731356, 2629619
99, 0.032236, 8275778, 101533, 730416, 2629619
109, 0.035596, 2655686487, 117378, 1902413433, 2629619
119, 0.039096, 11066351, 116804, 839410, 2629619
129, 0.042416, 9947521, 123767, 851535, 2629619
139, 0.045708, 154003216, 134239, 10330842, 2629619
149, 0.049152, 8904661, 141908, 742704, 2629619
159, 0.052472, 8890118, 147078, 744308, 2629619
169, 0.055812, 8956664, 154155, 739035, 2629619
179, 0.059112, 9045554, 163705, 741507, 2629619
189, 0.062464, 9171510, 169489, 742776, 2629619
199, 0.065884, 9223686, 181096, 750517, 2629619
209, 0.069216, 9329638, 191634, 741433, 2629619
219, 0.072512, 9374593, 196326, 741509, 2629619
229, 0.075772, 9501879, 204309, 758261, 2629619
239, 0.079116, 9557014, 211187, 742172, 2629619
249, 0.082440, 9634115, 219148, 754764, 2629619
259, 0.085712, 9723142, 228631, 746386, 2629619
269, 0.089048, 9776275, 236280, 751440, 2629619
279, 0.092292, 9892199, 245303, 757419, 2629619
289, 0.095540, 9953060, 250423, 755649, 2629619
299, 0.098748, 10081221, 258008, 755322, 2629619
309, 0.102024, 10122843, 268557, 747282, 2629619
319, 0.105300, 10203053, 274966, 747891, 2629619
329, 0.108528, 10280183, 282854, 759315, 2629619
339, 0.111840, 10391468, 291004, 752369, 2629619
349, 0.115084, 10443171, 297680, 764442, 2629619
359, 0.118284, 10493967, 305534, 747411, 2629619
369, 0.121544, 10597488, 310661, 747187, 2629619
379, 0.124772, 10661468, 318911, 747670, 2629619
389, 0.127996, 10763286, 326102, 749607, 2629619
399, 0.131236, 10812966, 336622, 746992, 2629619
409, 0.134500, 10918816, 343448, 746546, 2629619
419, 0.137760, 10996603, 349320, 758314, 2629619
429, 0.140924, 11080801, 358627, 747378, 2629619
439, 0.144108, 11131401, 365388, 748953, 2629619
449, 0.147288, 11260827, 372298, 754051, 2629619
459, 0.150532, 11289393, 378323, 768402, 2629619
469, 0.153776, 11374991, 386842, 754347, 2629619
479, 0.156920, 11467720, 396864, 751919, 2629619
489, 0.160052, 11525259, 403049, 752795, 2629619
499, 0.163256, 11650164, 410975, 755560, 2629619
509, 0.166496, 11680998, 416297, 750332, 2629619
519, 0.169704, 11812314, 426781, 753657, 2629619
529, 0.172920, 11877287, 434776, 772760, 2629619
539, 0.176156, 11930513, 441133, 755239, 2629619
549, 0.179464, 12032243, 449386, 763935, 2629619
