Step, Coverage [%], Step time [ns]
2739, 1.000000, 22
2749, 1.000000, 22
2759, 1.000000, 22
2769, 1.000000, 22
2779, 1.000000, 22
2789, 1.000000, 22
2799, 1.000000, 22
2809, 1.000000, 22
2819, 1.000000, 22
2829, 1.000000, 22
2839, 1.000000, 22
2849, 1.000000, 22
2859, 1.000000, 22
2869, 1.000000, 22
2879, 1.000000, 22
2889, 1.000000, 22
2899, 1.000000, 22
2909, 1.000000, 23
2919, 1.000000, 23
2929, 1.000000, 23
2939, 1.000000, 23
2949, 1.000000, 23
2959, 1.000000, 23
2969, 1.000000, 23
2979, 1.000000, 23
2989, 1.000000, 23
2999, 1.000000, 23
3009, 1.000000, 23
3019, 1.000000, 23
3029, 1.000000, 23
3039, 1.000000, 23
3049, 1.000000, 23
3059, 1.000000, 23
3069, 1.000000, 23
3079, 1.000000, 24
3089, 1.000000, 24
3099, 1.000000, 24
3109, 1.000000, 24
3119, 1.000000, 24
3129, 1.000000, 24
3139, 1.000000, 24
3149, 1.000000, 24
3159, 1.000000, 24
3169, 1.000000, 24
3179, 1.000000, 24
3189, 1.000000, 24
3199, 1.000000, 24
3209, 1.000000, 24
3219, 1.000000, 24
3229, 1.000000, 24
3239, 1.000000, 24
3249, 1.000000, 24
3259, 1.000000, 24
3269, 1.000000, 24
3279, 1.000000, 24
3289, 1.000000, 24
3299, 1.000000, 25
3309, 1.000000, 25
3319, 1.000000, 25
3329, 1.000000, 25
3339, 1.000000, 25
3349, 1.000000, 25
3359, 1.000000, 25
3369, 1.000000, 25
3379, 1.000000, 25
3389, 1.000000, 25
3399, 1.000000, 25
3409, 1.000000, 25
3419, 1.000000, 25
3429, 1.000000, 25
3439, 1.000000, 25
3449, 1.000000, 25
3459, 1.000000, 25
3469, 1.000000, 25
3479, 1.000000, 25
3489, 1.000000, 25
3499, 1.000000, 25
3509, 1.000000, 25
3519, 1.000000, 25
3529, 1.000000, 25
3539, 1.000000, 25
3549, 1.000000, 25
3559, 1.000000, 25
3569, 1.000000, 25
3579, 1.000000, 25
3589, 1.000000, 25
3599, 1.000000, 25
3609, 1.000000, 25
3619, 1.000000, 25
3629, 1.000000, 25
3639, 1.000000, 25
3649, 1.000000, 25
3659, 1.000000, 25
3669, 1.000000, 25
3679, 1.000000, 25
3689, 1.000000, 25
3699, 1.000000, 25
3709, 1.000000, 25
3719, 1.000000, 25
3729, 1.000000, 25
3739, 1.000000, 25
3749, 1.000000, 25
3759, 1.000000, 25
3769, 1.000000, 25
3779, 1.000000, 25
3789, 1.000000, 25
3799, 1.000000, 25
3809, 1.000000, 25
3819, 1.000000, 25
3829, 1.000000, 25
3839, 1.000000, 25
3849, 1.000000, 25
3859, 1.000000, 25
3869, 1.000000, 25
3879, 1.000000, 25
3889, 1.000000, 25
3899, 1.000000, 25
3909, 1.000000, 25
3919, 1.000000, 25
3929, 1.000000, 25
3939, 1.000000, 25
3949, 1.000000, 25
3959, 1.000000, 25
3969, 1.000000, 25
3979, 1.000000, 25
3989, 1.000000, 25
3999, 1.000000, 25
4009, 1.000000, 25
4019, 1.000000, 25
4029, 1.000000, 25
4039, 1.000000, 25
4049, 1.000000, 25
4059, 1.000000, 25
4069, 1.000000, 25
4079, 1.000000, 25
4089, 1.000000, 25
4099, 1.000000, 25
4109, 1.000000, 25
4119, 1.000000, 25
4129, 1.000000, 25
4139, 1.000000, 25
4149, 1.000000, 25
4159, 1.000000, 25
4169, 1.000000, 25
4179, 1.000000, 25
4189, 1.000000, 25
4199, 1.000000, 25
4209, 1.000000, 25
4219, 1.000000, 25
4229, 1.000000, 25
4239, 1.000000, 25
4249, 1.000000, 25
4259, 1.000000, 25
4269, 1.000000, 25
4279, 1.000000, 25
4289, 1.000000, 25
4299, 1.000000, 25
4309, 1.000000, 25
4319, 1.000000, 25
4329, 1.000000, 25
4339, 1.000000, 25
4349, 1.000000, 25
4359, 1.000000, 25
4369, 1.000000, 25
4379, 1.000000, 25
4389, 1.000000, 25
4399, 1.000000, 25
4409, 1.000000, 25
4419, 1.000000, 25
4429, 1.000000, 25
4439, 1.000000, 25
4449, 1.000000, 25
4459, 1.000000, 25
4469, 1.000000, 25
4479, 1.000000, 25
4489, 1.000000, 24
4499, 1.000000, 24
