Step, Coverage [%], Step time [ns]
2739, 0.841675, 27
2749, 0.843522, 27
2759, 0.845413, 27
2769, 0.847238, 27
2779, 0.849099, 28
2789, 0.850941, 28
2799, 0.852811, 28
2809, 0.854684, 28
2819, 0.856517, 42
2829, 0.858241, 28
2839, 0.859912, 28
2849, 0.861546, 31
2859, 0.863202, 30
2869, 0.864762, 34
2879, 0.866384, 31
2889, 0.868003, 28
2899, 0.869511, 34
2909, 0.871097, 31
2919, 0.872706, 34
2929, 0.874239, 28
2939, 0.875858, 31
2949, 0.877493, 34
2959, 0.879118, 31
2969, 0.880875, 31
2979, 0.882533, 28
2989, 0.884092, 31
2999, 0.885692, 34
3009, 0.887196, 31
3019, 0.888665, 31
3029, 0.890068, 28
3039, 0.891448, 31
3049, 0.892884, 31
3059, 0.894305, 34
3069, 0.895702, 32
3079, 0.897096, 29
3089, 0.898439, 30
3099, 0.899839, 31
3109, 0.901305, 34
3119, 0.902701, 31
3129, 0.904215, 2627
3139, 0.905787, 165
3149, 0.907305, 33
3159, 0.908854, 32
3169, 0.910343, 30
3179, 0.911860, 30
3189, 0.913358, 30
3199, 0.914991, 30
3209, 0.916647, 30
3219, 0.918258, 30
3229, 0.919986, 30
3239, 0.921747, 30
3249, 0.923508, 30
3259, 0.925352, 30
3269, 0.927223, 30
3279, 0.929150, 30
3289, 0.930989, 30
3299, 0.932863, 30
3309, 0.934702, 30
3319, 0.936568, 30
3329, 0.938438, 30
3339, 0.940312, 30
3349, 0.942182, 31
3359, 0.944016, 34
3369, 0.945941, 33
3379, 0.947772, 30
3389, 0.949665, 32
3399, 0.951391, 32
3409, 0.953122, 34
3419, 0.954922, 32
3429, 0.956566, 31
3439, 0.958349, 33
3449, 0.959850, 34
3459, 0.961493, 30
3469, 0.962931, 35
3479, 0.964435, 33
3489, 0.966077, 32
3499, 0.967583, 33
3509, 0.969178, 34
3519, 0.970653, 32
3529, 0.972219, 32
3539, 0.973613, 31
3549, 0.975017, 33
3559, 0.976440, 33
3569, 0.977782, 30
3579, 0.979178, 35
3589, 0.980424, 34
3599, 0.981658, 32
3609, 0.982783, 33
3619, 0.983952, 34
3629, 0.984997, 32
3639, 0.986038, 32
3649, 0.987068, 35
3659, 0.988053, 32
3669, 0.989077, 33
3679, 0.989962, 33
3689, 0.990837, 32
3699, 0.991650, 33
3709, 0.992461, 32
3719, 0.993221, 33
3729, 0.993961, 2678
3739, 0.994649, 145
3749, 0.995306, 34
3759, 0.995960, 32
3769, 0.996538, 32
3779, 0.997080, 34
3789, 0.997586, 33
3799, 0.998043, 32
3809, 0.998407, 32
3819, 0.998694, 34
3829, 0.998812, 32
3839, 0.998905, 33
3849, 0.999004, 33
3859, 0.999088, 32
3869, 0.999177, 35
3879, 0.999252, 33
3889, 0.999326, 33
3899, 0.999399, 31
3909, 0.999463, 37
3919, 0.999528, 33
3929, 0.999581, 33
3939, 0.999638, 33
3949, 0.999683, 32
3959, 0.999727, 33
3969, 0.999768, 32
3979, 0.999803, 33
3989, 0.999836, 33
3999, 0.999862, 33
4009, 0.999889, 31
4019, 0.999910, 35
4029, 0.999930, 33
4039, 0.999947, 32
4049, 0.999961, 34
4059, 0.999974, 33
4069, 0.999982, 32
4079, 0.999987, 32
4089, 0.999990, 35
4099, 0.999993, 32
4109, 0.999994, 33
4119, 0.999995, 33
4129, 0.999995, 32
4139, 0.999996, 33
4149, 0.999997, 32
4159, 0.999997, 33
4169, 0.999998, 33
4179, 0.999999, 34
4189, 0.999999, 30
4199, 0.999999, 35
4209, 1.000000, 34
4219, 1.000000, 32
4229, 1.000000, 29
4239, 1.000000, 18
4249, 1.000000, 18
4259, 1.000000, 18
4269, 1.000000, 18
4279, 1.000000, 18
4289, 1.000000, 18
4299, 1.000000, 18
4309, 1.000000, 18
4319, 1.000000, 18
4329, 1.000000, 18
4339, 1.000000, 18
4349, 1.000000, 18
4359, 1.000000, 18
4369, 1.000000, 18
4379, 1.000000, 18
4389, 1.000000, 18
4399, 1.000000, 18
4409, 1.000000, 18
4419, 1.000000, 18
4429, 1.000000, 18
4439, 1.000000, 18
4449, 1.000000, 18
4459, 1.000000, 18
4469, 1.000000, 18
4479, 1.000000, 18
4489, 1.000000, 18
4499, 1.000000, 18
