Step, Coverage [%], Step time [ns]
2739, 0.214363, 65
2749, 0.215098, 58
2759, 0.215882, 66
2769, 0.216622, 65
2779, 0.217369, 64
2789, 0.218127, 73
2799, 0.218880, 58
2809, 0.219649, 59
2819, 0.220373, 72
2829, 0.221145, 59
2839, 0.221890, 60
2849, 0.222645, 60
2859, 0.223400, 64
2869, 0.224148, 67
2879, 0.224909, 57
2889, 0.225651, 62
2899, 0.226415, 75
2909, 0.227162, 76
2919, 0.227940, 78
2929, 0.228682, 73
2939, 0.229459, 72
2949, 0.230202, 74
2959, 0.230947, 80
2969, 0.231739, 66
2979, 0.232496, 66
2989, 0.233271, 75
2999, 0.234045, 73
3009, 0.234835, 76
3019, 0.235592, 87
3029, 0.236337, 84
3039, 0.237103, 98
3049, 0.237871, 78
3059, 0.238647, 64
3069, 0.239391, 93
3079, 0.240158, 83
3089, 0.240914, 70
3099, 0.241652, 79
3109, 0.242422, 74
3119, 0.243161, 71
3129, 0.243939, 72
3139, 0.244680, 66
3149, 0.245457, 64
3159, 0.246219, 66
3169, 0.246974, 69
3179, 0.247738, 68
3189, 0.248474, 72
3199, 0.249235, 62
3209, 0.250001, 78
3219, 0.250762, 69
3229, 0.251510, 73
3239, 0.252251, 75
3249, 0.253005, 72
3259, 0.253775, 69
3269, 0.254537, 65
3279, 0.255274, 69
3289, 0.256038, 79
3299, 0.256780, 93
3309, 0.257531, 67
3319, 0.258303, 81
3329, 0.259034, 73
3339, 0.259763, 64
3349, 0.260534, 70
3359, 0.261282, 80
3369, 0.262035, 64
3379, 0.262766, 63
3389, 0.263516, 77
3399, 0.264285, 78
3409, 0.265018, 75
3419, 0.265780, 70
3429, 0.266515, 69
3439, 0.267261, 67
3449, 0.268024, 72
3459, 0.268769, 69
3469, 0.269562, 73
3479, 0.270287, 77
3489, 0.271064, 65
3499, 0.271813, 84
3509, 0.272580, 76
3519, 0.273336, 63
3529, 0.274055, 73
3539, 0.274812, 65
3549, 0.275571, 75
3559, 0.276306, 69
3569, 0.277067, 81
3579, 0.277800, 71
3589, 0.278578, 88
3599, 0.279312, 71
3609, 0.280060, 79
3619, 0.280821, 91
3629, 0.281560, 90
3639, 0.282319, 83
3649, 0.283069, 68
3659, 0.283822, 85
3669, 0.284589, 65
3679, 0.285331, 82
3689, 0.286080, 67
3699, 0.286833, 78
3709, 0.287600, 60
3719, 0.288348, 68
3729, 0.289091, 66
3739, 0.289836, 71
3749, 0.290601, 73
3759, 0.291335, 69
3769, 0.292093, 66
3779, 0.292847, 65
3789, 0.293574, 75
3799, 0.294336, 68
3809, 0.295080, 74
3819, 0.295831, 76
3829, 0.296569, 66
3839, 0.297318, 85
3849, 0.298075, 82
3859, 0.298819, 85
3869, 0.299554, 82
3879, 0.300306, 66
3889, 0.301044, 95
3899, 0.301813, 73
3909, 0.302566, 110
3919, 0.303305, 70
3929, 0.304076, 69
3939, 0.304834, 71
3949, 0.305561, 78
3959, 0.306330, 70
3969, 0.307073, 70
3979, 0.307825, 69
3989, 0.308597, 71
3999, 0.309334, 79
4009, 0.310118, 79
4019, 0.310863, 97
4029, 0.311604, 74
4039, 0.312401, 76
4049, 0.313161, 67
4059, 0.313902, 75
4069, 0.314666, 71
4079, 0.315400, 80
4089, 0.316153, 77
4099, 0.316889, 74
4109, 0.317607, 79
4119, 0.318388, 67
4129, 0.319120, 96
4139, 0.319879, 95
4149, 0.320643, 97
4159, 0.321405, 101
4169, 0.322154, 98
4179, 0.322918, 86
4189, 0.323653, 78
4199, 0.324412, 85
4209, 0.325177, 80
4219, 0.325903, 90
4229, 0.326688, 80
4239, 0.327453, 92
4249, 0.328181, 74
4259, 0.328952, 101
4269, 0.329706, 71
4279, 0.330445, 65
4289, 0.331215, 73
4299, 0.331957, 66
4309, 0.332724, 65
4319, 0.333499, 71
4329, 0.334240, 87
4339, 0.334998, 71
4349, 0.335760, 87
4359, 0.336496, 81
4369, 0.337270, 79
4379, 0.338027, 88
4389, 0.338761, 74
4399, 0.339528, 87
4409, 0.340268, 79
4419, 0.341010, 73
4429, 0.341762, 94
4439, 0.342523, 73
4449, 0.343266, 89
4459, 0.344044, 73
4469, 0.344772, 77
4479, 0.345520, 74
4489, 0.346253, 74
4499, 0.347000, 73
