Step, Coverage [%], Step time [ns], Transition time [ns], Find ac time [ns]
9, 0.000724, 22800354, 614398, 727170, 0
19, 0.003044, 19301675, 1117038, 737564, 0
29, 0.006820, 15428175, 719420, 734720, 0
39, 0.011204, 18910699, 1172754, 750714, 0
49, 0.014928, 21681434, 1503258, 734685, 0
59, 0.018392, 24221229, 1795168, 740220, 0
69, 0.021964, 35112037, 1948054, 736524, 0
79, 0.025400, 32475926, 2266239, 729462, 0
89, 0.028816, 34070566, 2522130, 728432, 0
99, 0.032236, 34086081, 2837353, 751454, 0
109, 0.035596, 40686638, 2800706, 4928537, 0
119, 0.039096, 36713942, 3063688, 729079, 0
129, 0.042416, 39129615, 3318965, 725993, 0
139, 0.045708, 42287873, 3590301, 737752, 0
149, 0.049152, 58229562, 3675230, 14989584, 0
159, 0.052472, 44784865, 3910040, 727638, 0
169, 0.055812, 47649861, 4383187, 737548, 0
179, 0.059112, 49851321, 4380975, 727301, 0
189, 0.062464, 52196209, 4631458, 731944, 0
199, 0.065884, 54655614, 4917102, 726174, 0
209, 0.069216, 56955948, 5128054, 727437, 0
219, 0.072512, 59143192, 5364970, 733882, 0
229, 0.075772, 61611580, 5581372, 732027, 0
239, 0.079116, 63798404, 5837930, 727163, 0
249, 0.082440, 66183281, 6013126, 729937, 0
259, 0.085712, 68704553, 6326224, 727556, 0
269, 0.089048, 71504489, 6541517, 753853, 0
279, 0.092292, 73084459, 6735828, 732218, 0
289, 0.095540, 75482194, 7016296, 729530, 0
299, 0.098748, 77727243, 7191566, 729339, 0
309, 0.102024, 80001274, 7472360, 735877, 0
319, 0.105300, 82248635, 7714666, 733282, 0
329, 0.108528, 84637050, 7868107, 733008, 0
339, 0.111840, 86806354, 8145729, 745702, 0
349, 0.115084, 89231910, 8378731, 734720, 0
359, 0.118284, 91378907, 8567060, 732403, 0
369, 0.121544, 93456904, 8787437, 735448, 0
379, 0.124772, 95825676, 9040419, 735456, 0
389, 0.127996, 98344654, 9266401, 734797, 0
399, 0.131236, 100466260, 9472888, 733066, 0
409, 0.134500, 102626493, 9727195, 742582, 0
419, 0.137760, 104938220, 9965988, 738571, 0
429, 0.140924, 107041970, 10160996, 753035, 0
439, 0.144108, 109191741, 10369683, 735020, 0
449, 0.147288, 111443076, 10609500, 742433, 0
459, 0.150532, 113722188, 10821103, 754733, 0
469, 0.153776, 117860603, 11017308, 2603442, 0
479, 0.156920, 120581994, 11252941, 1732787, 0
489, 0.160052, 120779783, 11449897, 862898, 0
499, 0.163256, 125026482, 11592666, 746036, 0
509, 0.166496, 129750619, 11876816, 755483, 0
519, 0.169704, 132664634, 12332871, 744860, 0
529, 0.172920, 151781630, 12519676, 750745, 0
539, 0.176156, 132870765, 12857470, 761869, 0
549, 0.179464, 138725875, 13193605, 3055027, 0
559, 0.182652, 148490126, 13463062, 754708, 0
569, 0.185960, 154895229, 13952487, 3990878, 0
579, 0.189196, 150618125, 14178286, 771065, 0
589, 0.192320, 157105198, 14609902, 841224, 0
599, 0.195520, 157495021, 14944888, 760158, 0
609, 0.198684, 161291653, 15335849, 752623, 0
619, 0.201868, 161428794, 15533521, 754744, 0
629, 0.205056, 168995483, 15551475, 757892, 0
639, 0.208288, 169896472, 15577858, 2978906, 0
649, 0.211424, 163477686, 15760741, 759348, 0
659, 0.214584, 173279678, 15985614, 770428, 0
669, 0.217752, 171475574, 16022565, 4326242, 0
679, 0.220848, 178261432, 16441229, 3153515, 0
689, 0.224108, 180619927, 16808416, 3079168, 0
699, 0.227280, 181315755, 16924489, 3120771, 0
709, 0.230368, 184290424, 17327397, 6005111, 0
719, 0.233552, 201206655, 17307990, 3024672, 0
729, 0.236680, 201755457, 17746320, 2434318, 0
739, 0.239804, 202185446, 18320984, 764277, 0
749, 0.242948, 200122139, 18604915, 804473, 0
759, 0.246184, 203906814, 19390772, 764871, 0
769, 0.249296, 201196789, 19851899, 762742, 0
779, 0.252372, 205040292, 19929514, 770031, 0
789, 0.255620, 207202633, 20263986, 762041, 0
799, 0.258804, 213811053, 20599239, 764811, 0
809, 0.261992, 218902236, 21362251, 765902, 0
819, 0.265168, 222514722, 21743139, 776634, 0
829, 0.268368, 228463340, 22153406, 771964, 0
839, 0.271624, 234987410, 22028810, 2508047, 0
849, 0.274752, 228382838, 21134118, 761968, 0
859, 0.277892, 221386138, 21457779, 762596, 0
869, 0.281128, 224292426, 21690111, 766012, 0
879, 0.284236, 237812366, 22087002, 773819, 0
889, 0.287468, 229453843, 22290171, 770575, 0
899, 0.290640, 240587245, 22987103, 784642, 0
909, 0.293820, 239255281, 23477862, 776357, 0
919, 0.296956, 244665580, 23636468, 765429, 0
929, 0.300068, 242789861, 23886144, 767936, 0
939, 0.303204, 253626277, 24086092, 780018, 0
949, 0.306292, 247266549, 24265758, 766285, 0
959, 0.309472, 262277705, 24446281, 772125, 0
969, 0.312600, 255961967, 25098832, 768317, 0
979, 0.315732, 265585813, 25938068, 798833, 0
989, 0.318812, 266176763, 25920395, 776107, 0
999, 0.321860, 266933307, 26137651, 772793, 0
1009, 0.325008, 269708032, 25595289, 771404, 0
1019, 0.328200, 267726121, 25964757, 779469, 0
1029, 0.331296, 270461138, 26523739, 790184, 0
1039, 0.334400, 279472479, 26644366, 1251339, 0
1049, 0.337612, 276260970, 26750286, 770575, 0
1059, 0.340776, 280791584, 27662703, 770807, 0
1069, 0.343940, 281369980, 27411355, 777708, 0
1079, 0.346996, 285184506, 27775060, 1473718, 0
1089, 0.350192, 285523351, 28046409, 772933, 0
1099, 0.353340, 297036208, 28800605, 2928518, 0
1109, 0.356472, 300677897, 29017007, 777506, 0
1119, 0.359560, 303262452, 29342918, 2075508, 0
1129, 0.362688, 306819527, 28696437, 777068, 0
1139, 0.365776, 297653257, 29189502, 768285, 0
1149, 0.368892, 298741338, 29216835, 777831, 0
1159, 0.371980, 304541919, 29974114, 779497, 0
1169, 0.375084, 308584947, 30222583, 778709, 0
1179, 0.378260, 313631117, 30955635, 778225, 0
1189, 0.381304, 322753825, 31871010, 786967, 0
1199, 0.384472, 325276359, 31210965, 784513, 0
